AB,AB
AK,AK
AL,AL
ALABAMA,AL
ALASKA,AK
ALBERTA,AB
AR,AR
ARIZONA,AZ
ARKANSAS,AR
AZ,AZ
BC,BC
BRITISH COLUMBIA,BC
CA,CA
CALIFORNIA,CA
CO,CO
COLORADO,CO
CONN,CT
CONNECTICUT,CT
CT,CT
D C,DC
DC,DC
DE,DE
DELAWARE,DE
DISTRICT COLUMBIA,DC
DISTRICT OF COLUMBIA,DC
FL,FL
FLORIDA,FL
GA,GA
GEORGIA,GA
HAWAII,HI
HI,HI
IA,IA
ID,ID
IDAHO,ID
IL,IL
ILLINOIS,IL
IN,IN
INDIANA,IN
IOWA,IA
IPE,IPE
KANSAS,KS
KENTUCKY,KY
KS,KS
KY,KY
LA,LA
LOUISIANA,LA
MA,MA
MAINE,ME
MANITOBA,MB
MARYLAND,MD
MASSACHUSETTS,MA
MB,MB
MD,MD
ME,ME
MI,MI
MICHIGAN,MI
MINNESOTA,MN
MISSISSIPPI,MS
MISSOURI,MO
MN,MN
MO,MO
MONTANA,MT
MS,MS
MT,MT
N CAROLINA,NC
N DAKOTA,ND
N H,NH
N HAMPSHIRE,NH
N J,NJ
N JERSEY,NJ
N M,NM
N MEXICO,NM
N Y,NY
N YORK,NY
NB,NB
NC,NC
ND,ND
NE,NE
NEBRASKA,NE
NEVADA,NV
NEW BRUNSWICK,NB
NEW HAMPSHIRE,NH
NEW JERSEY,NJ
NEW MEXICO,NM
NEW YORK,NY
NEWFOUNDLAND,NF
NF,NF
NH,NH
NJ,NJ
NM,NM
NO CAROLINA,NC
NO DAKOTA,ND
NORTH CAROLINA,NC
NORTH DAKOTA,ND
NORTHWEST TERRITORIES,NT
NOVA SCOTIA,NS
NS,NS
NT,NT
NUNAVUT,NV
NV,NV
NY,NY
OH,OH
OHIO,OH
OK,OK
OKLAHOMA,OK
ON,ON
ONTARIO,ON
OR,OR
OREGON,OR
PA,PA
PENN,PA
PENNSYLVANIA,PA
PQ,PQ
PRINCE EDWARD ISLAND,IPE
QC,PQ
QUEBEC,PQ
RHODE ISLAND,RI
RI,RI
ROAD ISLAND,RI
RODE ISLAND,RI
S CAROLINA,SC
S DAKOTA,SD
SASKATCHEWAN,SK
SC,SC
SD,SD
SK,SK
SO CAROLINA,SC
SO DAKOTA,SD
SOUTH CAROLINA,SC
SOUTH DAKOTA,SD
TENNESSEE,TN
TEXAS,TX
TN,TN
TX,TX
UT,UT
UTAH,UT
VA,VA
VERMONT,VT
VIRGINIA,VA
VT,VT
W VIRGINIA,WV
WA,WA
WASHINGTON,WA
WE VIRGINIA,WV
WEST VIRGINIA,WV
WI,WI
WISCONSIN,WI
WV,WV
WY,WY
WYOMING,WY
YT,YT
YUKON,YT
